Row Labels,Merchant Street Address,Transaction WeekOfYear,Average of Unit Cost,Average of unleadedavgPrice,Average of unleadedstedev,
Murphy 7231 Atwalmrt,2602 N Prospect Ave,3,2.31,2.400842105,0.142004369,Average
Murphy 7231 Atwalmrt,2602 N Prospect Ave,13,2.205,2.281521739,0.067187368,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,4,2.29,2.236203704,0.088715839,Average
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,5,2.07,2.169454545,0.065718839,Average
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,11,2.33,2.197592593,0.165200928,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,12,2.23,2.353861386,0.056920476,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,13,2.2,2.281521739,0.067187368,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,14,2.08,2.348469388,0.164243671,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,19,2.07,2.265164835,0.085872808,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,23,2.16,2.186530612,0.101026709,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,27,2.12,2.145816327,0.051210571,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,28,2.06,2.120970874,0.071927449,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,30,2,2.132427184,0.114055938,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,33,2.16,2.328241758,0.08020243,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,36,2.55,2.534886364,0.095158601,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,40,2.345,2.419807692,0.071080165,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,41,2.59,2.369791667,0.059453284,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,43,2.44,2.445714286,0.12409563,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,48,2.42,2.464803922,0.085094361,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,51,2.25,2.410736842,0.144864148,High
Murphy 7275 Atwalmrt,110 Shigh Cross Rd,52,2.453333333,2.470526316,0.064325529,High
Omsai LLC,1701 Philo Rd,2,2.485,2.479344262,0.056198257,Average
Omsai LLC,1701 Philo Rd,3,2.43,2.400842105,0.142004369,Average
Omsai LLC,1701 Philo Rd,4,2.33,2.236203704,0.088715839,Average
Omsai LLC,1701 Philo Rd,5,2.215,2.169454545,0.065718839,Average
Omsai LLC,1701 Philo Rd,6,2.12,2.114,0.06391221,Average
Omsai LLC,1701 Philo Rd,7,2.25,2.256153846,0.083320736,High
Omsai LLC,1701 Philo Rd,8,2.25,2.278265306,0.083764834,High
Omsai LLC,1701 Philo Rd,9,2.39,2.332056075,0.071437244,High
Omsai LLC,1701 Philo Rd,10,2.27,2.253245614,0.127525778,High
Omsai LLC,1701 Philo Rd,11,2.256666667,2.197592593,0.165200928,High
Omsai LLC,1701 Philo Rd,12,2.323333333,2.353861386,0.056920476,High
Omsai LLC,1701 Philo Rd,13,2.3,2.281521739,0.067187368,High
Omsai LLC,1701 Philo Rd,14,2.47,2.348469388,0.164243671,High
Omsai LLC,1701 Philo Rd,15,2.34,2.349605263,0.080157192,High
Omsai LLC,1701 Philo Rd,16,2.24,2.288518519,0.163099733,High
Omsai LLC,1701 Philo Rd,17,2.233333333,2.210505051,0.074290848,High
Omsai LLC,1701 Philo Rd,18,2.08,2.130454545,0.059343324,High
Omsai LLC,1701 Philo Rd,19,2.24,2.265164835,0.085872808,High
Omsai LLC,1701 Philo Rd,20,2.29,2.2975,0.098990787,High
Omsai LLC,1701 Philo Rd,21,3.25,2.25754902,0.127663204,High
Omsai LLC,1701 Philo Rd,22,2.294,2.209885057,0.043894542,High
Omsai LLC,1701 Philo Rd,23,2.29,2.186530612,0.101026709,High
Omsai LLC,1701 Philo Rd,24,2.55,2.134955752,0.144902208,High
Omsai LLC,1701 Philo Rd,25,2.15,2.05311828,0.038701154,High
Omsai LLC,1701 Philo Rd,26,2.2,2.099270833,0.102569563,High
Omsai LLC,1701 Philo Rd,27,2.215,2.145816327,0.051210571,High
Omsai LLC,1701 Philo Rd,29,2.2,2.067272727,0.082780977,High
Omsai LLC,1701 Philo Rd,30,2.2,2.132427184,0.114055938,High
Omsai LLC,1701 Philo Rd,31,2.22,2.198024691,0.049356351,High
Omsai LLC,1701 Philo Rd,32,2.203333333,2.262788462,0.19092751,High
Omsai LLC,1701 Philo Rd,33,2.4,2.328241758,0.08020243,High
Omsai LLC,1701 Philo Rd,34,2.33,2.284326923,0.056099157,High
Omsai LLC,1701 Philo Rd,35,2.39,2.391445783,0.078088951,High
Omsai LLC,1701 Philo Rd,36,2.59,2.534886364,0.095158601,High
Omsai LLC,1701 Philo Rd,39,2.4075,2.398737864,0.104381273,High
Omsai LLC,1701 Philo Rd,40,2.43,2.419807692,0.071080165,High
Omsai LLC,1701 Philo Rd,41,2.41,2.369791667,0.059453284,High
Omsai LLC,1701 Philo Rd,42,2.35,2.344356436,0.110547871,High
Omsai LLC,1701 Philo Rd,43,2.48,2.445714286,0.12409563,High
Omsai LLC,1701 Philo Rd,44,2.58,2.586727273,0.138166959,High
Omsai LLC,1701 Philo Rd,47,2.53,2.519753086,0.082461738,High
Omsai LLC,1701 Philo Rd,48,2.49,2.464803922,0.085094361,High
Omsai LLC,1701 Philo Rd,49,2.4,2.394035088,0.021686393,High
Omsai LLC,1701 Philo Rd,50,2.35,2.351440678,0.089081499,High
Omsai LLC,1701 Philo Rd,51,2.49,2.410736842,0.144864148,High
Omsai LLC,1701 Philo Rd,52,2.49,2.470526316,0.064325529,High
Pilot Site 368,4030 E Boyd Rd,4,2.08,2.236203704,0.088715839,Average
Pilot Site 368,4030 E Boyd Rd,10,2.16,2.253245614,0.127525778,High
Pilot Site 368,4030 E Boyd Rd,51,2.44,2.410736842,0.144864148,High
Pilot Site 482,4610 Broadway St,36,2.48,2.534886364,0.095158601,High
Quiktrip 0662,955 Bryan Rd,37,2.3,2.541935484,0.124867391,High
Road Ranger 132,4910 N Market St,26,2.06,2.099270833,0.102569563,High
S and P United Inc.,1005 Purnell Dr,4,2.26,2.236203704,0.088715839,Average
S and P United Inc.,1005 Purnell Dr,9,2.15,2.332056075,0.071437244,High
S and P United Inc.,1005 Purnell Dr,10,2.16,2.253245614,0.127525778,High
S and P United Inc.,1005 Purnell Dr,11,2.06,2.197592593,0.165200928,High
S and P United Inc.,1005 Purnell Dr,18,2.155,2.130454545,0.059343324,High
S and P United Inc.,1005 Purnell Dr,27,2.15,2.145816327,0.051210571,High
S and P United Inc.,1005 Purnell Dr,36,2.6,2.534886364,0.095158601,High
S and P United Inc.,1005 Purnell Dr,39,2.26,2.398737864,0.104381273,High
S and P United Inc.,1005 Purnell Dr,45,2.69,2.689897959,0.044199522,High
S and P United Inc.,1005 Purnell Dr,48,2.4,2.464803922,0.085094361,High
S and P United Inc.,1005 Purnell Dr,50,2.3,2.351440678,0.089081499,High
Sav. A Step Food Mart,1505 Veterans Pkwy,40,2.5,2.419807692,0.071080165,High
Schnuck Experess,306 E Main St,1,2.392941176,2.433513514,0.108608125,Average
Schnuck Experess,306 E Main St,2,2.465454545,2.479344262,0.056198257,Average
Schnuck Experess,306 E Main St,3,2.381428571,2.400842105,0.142004369,Average
Schnuck Experess,306 E Main St,4,2.164,2.236203704,0.088715839,Average
Schnuck Experess,306 E Main St,5,2.102352941,2.169454545,0.065718839,Average
Schnuck Experess,306 E Main St,6,2.004285714,2.114,0.06391221,Average
Schnuck Experess,306 E Main St,7,2.25,2.256153846,0.083320736,High
Schnuck Experess,306 E Main St,8,2.273333333,2.278265306,0.083764834,High
Schnuck Experess,306 E Main St,9,2.337272727,2.332056075,0.071437244,High
Schnuck Experess,306 E Main St,10,2.33,2.253245614,0.127525778,High
Schnuck Experess,306 E Main St,52,2.36,2.470526316,0.064325529,High
Schnucks Urbana Expr.,306 E Main St,10,2.26,2.253245614,0.127525778,High
Schnucks Urbana Expr.,306 E Main St,11,2.232857143,2.197592593,0.165200928,High
Schnucks Urbana Expr.,306 E Main St,12,2.34,2.353861386,0.056920476,High
Schnucks Urbana Expr.,306 E Main St,13,2.298181818,2.281521739,0.067187368,High
Schnucks Urbana Expr.,306 E Main St,14,2.39,2.348469388,0.164243671,High
Schnucks Urbana Expr.,306 E Main St,15,2.328888889,2.349605263,0.080157192,High
Schnucks Urbana Expr.,306 E Main St,16,2.303846154,2.288518519,0.163099733,High
Schnucks Urbana Expr.,306 E Main St,17,2.303333333,2.210505051,0.074290848,High
Schnucks Urbana Expr.,306 E Main St,18,2.1975,2.130454545,0.059343324,High
Schnucks Urbana Expr.,306 E Main St,19,2.262222222,2.265164835,0.085872808,High
Schnucks Urbana Expr.,306 E Main St,20,2.291428571,2.2975,0.098990787,High
Schnucks Urbana Expr.,306 E Main St,21,2.246666667,2.25754902,0.127663204,High
Schnucks Urbana Expr.,306 E Main St,22,2.2,2.209885057,0.043894542,High
Schnucks Urbana Expr.,306 E Main St,23,2.177777778,2.186530612,0.101026709,High
Schnucks Urbana Expr.,306 E Main St,24,2.12,2.134955752,0.144902208,High
Schnucks Urbana Expr.,306 E Main St,25,2.08,2.05311828,0.038701154,High
Schnucks Urbana Expr.,306 E Main St,26,2.131428571,2.099270833,0.102569563,High
Schnucks Urbana Expr.,306 E Main St,27,2.16,2.145816327,0.051210571,High
Schnucks Urbana Expr.,306 E Main St,28,2.137777778,2.120970874,0.071927449,High
Schnucks Urbana Expr.,306 E Main St,29,2.133333333,2.067272727,0.082780977,High
Schnucks Urbana Expr.,306 E Main St,30,2.153333333,2.132427184,0.114055938,High
Schnucks Urbana Expr.,306 E Main St,31,2.2,2.198024691,0.049356351,High
Schnucks Urbana Expr.,306 E Main St,32,2.35,2.262788462,0.19092751,High
Schnucks Urbana Expr.,306 E Main St,33,2.36,2.328241758,0.08020243,High
Schnucks Urbana Expr.,306 E Main St,34,2.318,2.284326923,0.056099157,High
Schnucks Urbana Expr.,306 E Main St,35,2.4,2.391445783,0.078088951,High
Schnucks Urbana Expr.,306 E Main St,36,2.5,2.534886364,0.095158601,High
Schnucks Urbana Expr.,306 E Main St,37,2.555,2.541935484,0.124867391,High
Schnucks Urbana Expr.,306 E Main St,38,2.433333333,2.4240625,0.121789967,High
Schnucks Urbana Expr.,306 E Main St,39,2.368888889,2.398737864,0.104381273,High
Schnucks Urbana Expr.,306 E Main St,40,2.431111111,2.419807692,0.071080165,High
Schnucks Urbana Expr.,306 E Main St,41,2.37,2.369791667,0.059453284,High
Schnucks Urbana Expr.,306 E Main St,42,2.32,2.344356436,0.110547871,High
Schnucks Urbana Expr.,306 E Main St,43,2.48,2.445714286,0.12409563,High
Schnucks Urbana Expr.,306 E Main St,44,2.628571429,2.586727273,0.138166959,High
Schnucks Urbana Expr.,306 E Main St,45,2.693333333,2.689897959,0.044199522,High
Schnucks Urbana Expr.,306 E Main St,46,2.641666667,2.640891089,0.042687211,High
Schnucks Urbana Expr.,306 E Main St,47,2.524,2.519753086,0.082461738,High
Schnucks Urbana Expr.,306 E Main St,48,2.468571429,2.464803922,0.085094361,High
Schnucks Urbana Expr.,306 E Main St,49,2.4,2.394035088,0.021686393,High
Schnucks Urbana Expr.,306 E Main St,50,2.354736842,2.351440678,0.089081499,High
Schnucks Urbana Expr.,306 E Main St,51,2.371428571,2.410736842,0.144864148,High
Schnucks Urbana Expr.,306 E Main St,52,2.5,2.470526316,0.064325529,High
Shell Service Statio,2400 W Jonathan Moore Pike,12,2.26,2.353861386,0.056920476,High
Shell Service Statio,303 E Warren St,2,2.46,2.479344262,0.056198257,Average
Shell Service Statio,303 E Warren St,6,2.15,2.114,0.06391221,Average
Shell Service Statio,303 E Warren St,8,2.28,2.278265306,0.083764834,High
Shell Service Statio,303 E Warren St,10,2.23,2.253245614,0.127525778,High
Shell Service Statio,303 E Warren St,12,2.3,2.353861386,0.056920476,High
Shell Service Statio,303 E Warren St,14,2.2,2.348469388,0.164243671,High
Shell Service Statio,303 E Warren St,15,2.35,2.349605263,0.080157192,High
Shell Service Statio,303 E Warren St,21,2.2,2.25754902,0.127663204,High
Shell Service Statio,303 E Warren St,24,2.13,2.134955752,0.144902208,High
Shell Service Statio,303 E Warren St,29,2.04,2.067272727,0.082780977,High
Shell Service Statio,303 E Warren St,31,2.2,2.198024691,0.049356351,High
Shell Service Statio,303 E Warren St,36,2.6,2.534886364,0.095158601,High
Shell Service Statio,303 E Warren St,42,2.36,2.344356436,0.110547871,High
Shell Service Statio,303 E Warren St,44,2.44,2.586727273,0.138166959,High
Shell Service Statio,303 E Warren St,47,2.54,2.519753086,0.082461738,High
Shell Service Statio,501 Hickory Hills Blvd,36,2.7,2.534886364,0.095158601,High
Shell Service Statio,8703 Col H Weir Ck M,27,2.4,2.145816327,0.051210571,High
Skyline Fuel Inc.,6276 Sawyer Rd,46,2.78,2.640891089,0.042687211,High
Speedway 01415,2925 Riverstone Ct,24,2.16,2.134955752,0.144902208,High
Speedway 05387,5555 W 86th St,5,2,2.169454545,0.065718839,Average
Speedway 07439,1712 W Ogden Ave,19,2.49,2.265164835,0.085872808,High
Speedway 07774,5990 E 71st St,41,2.5,2.369791667,0.059453284,High
Speedway 08595,550 Ogden Ave,37,2.6,2.541935484,0.124867391,High
Springfield Marathon,817 S Dirksen Pkwy,9,2.25,2.332056075,0.071437244,High
Sunrise Business Inc.,872 County Road 1000 N,28,2.26,2.120970874,0.071927449,High
SZBD Inc.,508 S Vine St,1,2.516428571,2.433513514,0.108608125,Average
SZBD Inc.,508 S Vine St,2,2.48,2.479344262,0.056198257,Average
SZBD Inc.,508 S Vine St,3,2.561818182,2.400842105,0.142004369,Average
SZBD Inc.,508 S Vine St,4,2.28875,2.236203704,0.088715839,Average
SZBD Inc.,508 S Vine St,5,2.203076923,2.169454545,0.065718839,Average
SZBD Inc.,508 S Vine St,6,2.140666667,2.114,0.06391221,Average
SZBD Inc.,508 S Vine St,7,2.27625,2.256153846,0.083320736,High
SZBD Inc.,508 S Vine St,8,2.28,2.278265306,0.083764834,High
SZBD Inc.,508 S Vine St,9,2.373529412,2.332056075,0.071437244,High
SZBD Inc.,508 S Vine St,10,2.389375,2.253245614,0.127525778,High
SZBD Inc.,508 S Vine St,11,2.283529412,2.197592593,0.165200928,High
SZBD Inc.,508 S Vine St,12,2.389411765,2.353861386,0.056920476,High
SZBD Inc.,508 S Vine St,13,2.3625,2.281521739,0.067187368,High
SZBD Inc.,508 S Vine St,14,2.436363636,2.348469388,0.164243671,High
SZBD Inc.,508 S Vine St,15,2.435714286,2.349605263,0.080157192,High
SZBD Inc.,508 S Vine St,16,2.401666667,2.288518519,0.163099733,High
SZBD Inc.,508 S Vine St,17,2.298,2.210505051,0.074290848,High
SZBD Inc.,508 S Vine St,18,2.173333333,2.130454545,0.059343324,High
SZBD Inc.,508 S Vine St,19,2.294666667,2.265164835,0.085872808,High
SZBD Inc.,508 S Vine St,20,2.366666667,2.2975,0.098990787,High
SZBD Inc.,508 S Vine St,21,2.32,2.25754902,0.127663204,High
SZBD Inc.,508 S Vine St,22,2.255,2.209885057,0.043894542,High
SZBD Inc.,508 S Vine St,23,2.285333333,2.186530612,0.101026709,High
SZBD Inc.,508 S Vine St,24,2.211363636,2.134955752,0.144902208,High
SZBD Inc.,508 S Vine St,25,2.12,2.05311828,0.038701154,High
SZBD Inc.,508 S Vine St,26,2.16875,2.099270833,0.102569563,High
SZBD Inc.,508 S Vine St,27,2.2,2.145816327,0.051210571,High
SZBD Inc.,508 S Vine St,28,2.212307692,2.120970874,0.071927449,High
SZBD Inc.,508 S Vine St,29,2.186,2.067272727,0.082780977,High
SZBD Inc.,508 S Vine St,30,2.160666667,2.132427184,0.114055938,High
SZBD Inc.,508 S Vine St,31,2.23,2.198024691,0.049356351,High
SZBD Inc.,508 S Vine St,32,2.446470588,2.262788462,0.19092751,High
SZBD Inc.,508 S Vine St,33,2.375,2.328241758,0.08020243,High
SZBD Inc.,508 S Vine St,34,2.314444444,2.284326923,0.056099157,High
SZBD Inc.,508 S Vine St,35,2.45,2.391445783,0.078088951,High
SZBD Inc.,508 S Vine St,36,2.545454545,2.534886364,0.095158601,High
SZBD Inc.,508 S Vine St,37,2.736,2.541935484,0.124867391,High
SZBD Inc.,508 S Vine St,38,2.528666667,2.4240625,0.121789967,High
SZBD Inc.,508 S Vine St,39,2.463333333,2.398737864,0.104381273,High
SZBD Inc.,508 S Vine St,40,2.465,2.419807692,0.071080165,High
SZBD Inc.,508 S Vine St,41,2.39,2.369791667,0.059453284,High
SZBD Inc.,508 S Vine St,42,2.492,2.344356436,0.110547871,High
SZBD Inc.,508 S Vine St,43,2.5,2.445714286,0.12409563,High
SZBD Inc.,508 S Vine St,44,2.638461538,2.586727273,0.138166959,High
SZBD Inc.,508 S Vine St,45,2.74,2.689897959,0.044199522,High
SZBD Inc.,508 S Vine St,46,2.652,2.640891089,0.042687211,High
SZBD Inc.,508 S Vine St,47,2.522222222,2.519753086,0.082461738,High
SZBD Inc.,508 S Vine St,48,2.476470588,2.464803922,0.085094361,High
SZBD Inc.,508 S Vine St,49,2.4,2.394035088,0.021686393,High
SZBD Inc.,508 S Vine St,50,2.3525,2.351440678,0.089081499,High
SZBD Inc.,508 S Vine St,51,2.535,2.410736842,0.144864148,High
SZBD Inc.,508 S Vine St,52,2.5,2.470526316,0.064325529,High
Thorntons #0108 Q,7425 E Washington St,14,2.23,2.348469388,0.164243671,High
Thorntons #0369 Q,2903 Woodlawn Rd,42,2.3,2.344356436,0.110547871,High
Thorntons #0385 Q,101 Burwash Ave,34,2.14,2.284326923,0.056099157,High
Thorntons #0385 Q,101 Burwash Ave,50,2.27,2.351440678,0.089081499,High
Thorntons #0386,101 S Mattis Ave,3,2.3,2.400842105,0.142004369,Average
Thorntons #0386,101 S Mattis Ave,6,2,2.114,0.06391221,Average
Thorntons #0386,101 S Mattis Ave,36,2.49,2.534886364,0.095158601,High
Thorntons #320,476 N York St,11,2.18,2.197592593,0.165200928,High
Urbana Farmtown,1509 E University Ave,1,2.413333333,2.433513514,0.108608125,Average
Urbana Farmtown,1509 E University Ave,2,2.49,2.479344262,0.056198257,Average
Urbana Farmtown,1509 E University Ave,3,2.41,2.400842105,0.142004369,Average
Urbana Farmtown,1509 E University Ave,4,2.288571429,2.236203704,0.088715839,Average
Urbana Farmtown,1509 E University Ave,5,2.122222222,2.169454545,0.065718839,Average
Urbana Farmtown,1509 E University Ave,6,2.12,2.114,0.06391221,Average
Urbana Farmtown,1509 E University Ave,7,2.268333333,2.256153846,0.083320736,High
Urbana Farmtown,1509 E University Ave,8,2.3,2.278265306,0.083764834,High
Urbana Farmtown,1509 E University Ave,9,2.317777778,2.332056075,0.071437244,High
Urbana Farmtown,1509 E University Ave,10,2.245,2.253245614,0.127525778,High
Urbana Farmtown,1509 E University Ave,11,2.182142857,2.197592593,0.165200928,High
Urbana Farmtown,1509 E University Ave,12,2.328571429,2.353861386,0.056920476,High
Urbana Farmtown,1509 E University Ave,13,2.29,2.281521739,0.067187368,High
Urbana Farmtown,1509 E University Ave,14,2.334285714,2.348469388,0.164243671,High
Urbana Farmtown,1509 E University Ave,15,2.39,2.349605263,0.080157192,High
Urbana Farmtown,1509 E University Ave,16,2.271428571,2.288518519,0.163099733,High
Urbana Farmtown,1509 E University Ave,17,2.186666667,2.210505051,0.074290848,High
Urbana Farmtown,1509 E University Ave,18,2.136,2.130454545,0.059343324,High
Urbana Farmtown,1509 E University Ave,19,2.274285714,2.265164835,0.085872808,High
Urbana Farmtown,1509 E University Ave,20,2.3,2.2975,0.098990787,High
Urbana Farmtown,1509 E University Ave,21,2.224,2.25754902,0.127663204,High
Urbana Farmtown,1509 E University Ave,22,2.2,2.209885057,0.043894542,High
Urbana Farmtown,1509 E University Ave,23,2.165714286,2.186530612,0.101026709,High
Urbana Farmtown,1509 E University Ave,24,2.102857143,2.134955752,0.144902208,High
Urbana Farmtown,1509 E University Ave,25,2.047777778,2.05311828,0.038701154,High
Urbana Farmtown,1509 E University Ave,26,2.009166667,2.099270833,0.102569563,High
Urbana Farmtown,1509 E University Ave,27,2.15,2.145816327,0.051210571,High
Urbana Farmtown,1509 E University Ave,28,2.09,2.120970874,0.071927449,High
Urbana Farmtown,1509 E University Ave,29,2.045714286,2.067272727,0.082780977,High
Urbana Farmtown,1509 E University Ave,30,2.057142857,2.132427184,0.114055938,High
Urbana Farmtown,1509 E University Ave,31,2.2,2.198024691,0.049356351,High
Urbana Farmtown,1509 E University Ave,32,2.218181818,2.262788462,0.19092751,High
Urbana Farmtown,1509 E University Ave,33,2.390909091,2.328241758,0.08020243,High
Urbana Farmtown,1509 E University Ave,34,2.278181818,2.284326923,0.056099157,High
Urbana Farmtown,1509 E University Ave,35,2.4,2.391445783,0.078088951,High
Urbana Farmtown,1509 E University Ave,36,2.514285714,2.534886364,0.095158601,High
Urbana Farmtown,1509 E University Ave,37,2.543333333,2.541935484,0.124867391,High
Urbana Farmtown,1509 E University Ave,38,2.451428571,2.4240625,0.121789967,High
Urbana Farmtown,1509 E University Ave,39,2.39,2.398737864,0.104381273,High
Urbana Farmtown,1509 E University Ave,40,2.38,2.419807692,0.071080165,High
Urbana Farmtown,1509 E University Ave,41,2.358333333,2.369791667,0.059453284,High
Urbana Farmtown,1509 E University Ave,42,2.3,2.344356436,0.110547871,High
Urbana Farmtown,1509 E University Ave,43,2.312727273,2.445714286,0.12409563,High
Urbana Farmtown,1509 E University Ave,44,2.555555556,2.586727273,0.138166959,High
Urbana Farmtown,1509 E University Ave,45,2.688,2.689897959,0.044199522,High
Urbana Farmtown,1509 E University Ave,46,2.63625,2.640891089,0.042687211,High
Urbana Farmtown,1509 E University Ave,47,2.532,2.519753086,0.082461738,High
Urbana Farmtown,1509 E University Ave,48,2.5,2.464803922,0.085094361,High
Urbana Farmtown,1509 E University Ave,49,2.405,2.394035088,0.021686393,High
Urbana Farmtown,1509 E University Ave,50,2.364285714,2.351440678,0.089081499,High
Urbana Farmtown,1509 E University Ave,51,2.344,2.410736842,0.144864148,High
Urbana Farmtown,1509 E University Ave,52,2.47,2.470526316,0.064325529,High
Village Pantry 1207,401 N Market St,51,2.31,2.410736842,0.144864148,
Village Pantry 5210,502 N Oakwood St,36,2.6,2.534886364,0.095158601,
Winners Circle 14,3120 Pine St,31,2.06,2.198024691,0.049356351,
(blank),(blank),(blank),,,,
